"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"3771","숙박업","03_11_03_P","5100000","5100000-201-1974-00007","1974-10-30","","03","폐업","02","폐업","2017-03-31","","","","005403342106","0.00","770-905","경상북도 영천시 완산동 900번지","경상북도 영천시 금완로 84-1 (완산동)","38892","남진여인숙","2017-03-31 14:27:21","I","2018-08-31 23:59:59","여인숙업","","","여인숙업","","","","","","","5","","","","","","","","N",
"3772","숙박업","03_11_03_P","5100000","5100000-201-1978-00001","1978-03-30","","03","폐업","02","폐업","2003-02-27","","","","","33.81","770-905","경상북도 영천시 완산동 905번지","","","대구여인숙","2002-09-28 00:00:00","I","2018-08-31 23:59:59","여인숙업","","","여인숙업","0","0","0","","0","","6","0","","","","","","","N",
"3773","숙박업","03_11_03_P","5100000","5100000-201-1973-00004","1973-09-24","","03","폐업","02","폐업","2003-02-27","","","","005403343472","0.00","770-902","경상북도 영천시 성내동 233-1번지","","","신라여인숙","2001-10-18 00:00:00","I","2018-08-31 23:59:59","여인숙업","373452.750869491","275252.056584925","여인숙업","0","0","0","","0","","8","0","","","","","","","N",
"3774","숙박업","03_11_03_P","5100000","5100000-201-1972-00002","1972-01-10","","03","폐업","02","폐업","2003-02-27","","","","005403342362","0.00","770-050","경상북도 영천시 교촌동 172번지","","","평안여인숙","2001-10-18 00:00:00","I","2018-08-31 23:59:59","여인숙업","373870.906049343","275810.230386239","여인숙업","0","0","0","","0","","9","0","","","","","","","N",
"3775","숙박업","03_11_03_P","5100000","5100000-201-1972-00003","1972-02-10","","03","폐업","02","폐업","2008-07-03","","","","005403344439","0.00","770-905","경상북도 영천시 완산동 930번지","","","대동여인숙","2003-07-03 00:00:00","I","2018-08-31 23:59:59","여인숙업","","","여인숙업","","","","","","","7","","","","","","","","N",
"3776","숙박업","03_11_03_P","5100000","5100000-201-1998-00003","1998-12-07","","03","폐업","02","폐업","2007-08-13","","","","005403372700","1634.25","770-831","경상북도 영천시 화남면 온천리 53번지 54.55.56.57.58.59번지","","","보현산원천호텔","2003-09-06 00:00:00","I","2018-08-31 23:59:59","여관업","367619.621378973","288838.861236176","여관업","5","1","1","4","","","24","18","","","","","","","N",
"3777","숙박업","03_11_03_P","5100000","5100000-201-1972-00004","1972-05-12","","03","폐업","02","폐업","2008-01-25","","","","005403343354","0.00","770-905","경상북도 영천시 완산동 900-7번지","","","한성여인숙","2003-04-02 00:00:00","I","2018-08-31 23:59:59","여인숙업","374747.232133706","275084.959610481","여인숙업","","","","","","","7","","","","","","","","N",
"3778","숙박업","03_11_03_P","5100000","5100000-201-1995-00015","1995-06-10","","03","폐업","02","폐업","2024-05-08","","","","054 3350360","298.38","770-892","경상북도 영천시 청통면 치일리 336-1","경상북도 영천시 청통면 대동로 341-25","38866","은해산장","2024-05-08 17:54:01","U","2024-05-11 02:40:00","여관업","362225.55660285","277598.273042719","여관업","2","0","1","2","0","0","11","6","","","","","0","0","N",
"3779","숙박업","03_11_03_P","5100000","5100000-201-1988-00002","1988-12-28","","03","폐업","02","폐업","2004-05-29","","","","005403347005","307.11","770-805","경상북도 영천시 금호읍 신월리 산 15-1번지 5-8,5-7번지","","","송산휴게소모텔","2003-04-02 00:00:00","I","2018-08-31 23:59:59","여관업","372118.59334177","273790.132110764","여관업","3","","1","3","","","8","15","","","","","","","N",
"3780","숙박업","03_11_03_P","5100000","5100000-201-1989-00005","1989-12-29","","03","폐업","02","폐업","2006-03-20","","","","005403336005","70.96","770-882","경상북도 영천시 북안면 임포리 265번지","","","문화여관","2003-04-02 00:00:00","I","2018-08-31 23:59:59","여관업","381322.423567591","270463.520610399","여관업","1","","1","1","","","7","","","","","","","","N",
"3781","숙박업","03_11_03_P","5100000","5100000-201-1995-00014","1995-02-16","","03","폐업","02","폐업","2009-12-29","","","","005403360100","217.99","770-846","경상북도 영천시 고경면 해선리 581-3번지","","","해선여관","2003-04-02 00:00:00","I","2018-08-31 23:59:59","여관업","383852.744214525","279833.207159469","여관업","3","","1","3","","","13","8","","","","","","","N",
"3782","숙박업","03_11_03_P","5100000","5100000-201-1994-00003","1994-12-09","","03","폐업","02","폐업","2021-04-12","","","","005403344661","258.57","770-906","경상북도 영천시 완산동 1081-5","경상북도 영천시 역전로 16 (완산동)","38891","온천여관","2021-04-12 11:07:56","U","2021-04-14 02:40:00","여관업","374509.389158216","275290.520017206","여관업","4","0","1","4","0","0","15","6","","","","","","","N",
"3783","숙박업","03_11_03_P","5100000","5100000-201-1999-00001","1999-06-07","","03","폐업","02","폐업","2006-05-26","","","","005403374720","527.37","770-893","경상북도 영천시 청통면 우천리 237-1번지","","","코리아나여관","2003-10-16 00:00:00","I","2018-08-31 23:59:59","여관업","369103.99392312","278667.26665036","여관업","3","","1","3","","","9","12","","","","","","","N",
"3784","숙박업","03_11_03_P","5100000","5100000-201-1985-00001","1985-04-09","","03","폐업","02","폐업","2015-09-25","","","","005403330383","82.70","770-060","경상북도 영천시 금노동 563-4번지","경상북도 영천시 강변로 33 (금노동)","38887","한성장여관","2003-06-11 00:00:00","I","2018-08-31 23:59:59","여관업","373745.691935282","275171.737474771","여관업","2","","2","2","","","","","","","","","","","N",
"3785","숙박업","03_11_03_P","5100000","5100000-201-1974-00008","1974-10-30","","03","폐업","02","폐업","2019-03-26","","","","005403343262","0.00","770-905","경상북도 영천시 완산동 930번지","경상북도 영천시 금완로 94-6 (완산동)","38892","충북여인숙","2019-03-26 10:25:08","U","2019-03-28 02:40:00","여인숙업","374823.182402927","275032.950086178","여인숙업","0","0","0","0","0","0","10","0","","","","","","","N",
"3786","숙박업","03_11_03_P","5100000","5100000-201-1975-00002","1975-04-15","","03","폐업","02","폐업","2003-02-27","","","","005403343693","0.00","770-905","경상북도 영천시 완산동 935번지","","","황해여인숙","2001-10-18 00:00:00","I","2018-08-31 23:59:59","여인숙업","","","여인숙업","0","0","0","","0","","5","0","","","","","","","N",
"3787","숙박업","03_11_03_P","5100000","5100000-201-1975-00003","1975-08-25","","03","폐업","02","폐업","2009-02-02","","","","005403342541","0.00","770-905","경상북도 영천시 완산동 903번지","","","골목여인숙","2003-04-02 00:00:00","I","2018-08-31 23:59:59","여인숙업","","","여인숙업","","","","","","","7","","","","","","","","N",
"3788","숙박업","03_11_03_P","5100000","5100000-201-1980-00003","1980-07-09","","03","폐업","02","폐업","2003-02-27","","","","005403342223","0.00","770-906","경상북도 영천시 완산동 1082-34번지","","","신광여인숙","2003-06-19 00:00:00","I","2018-08-31 23:59:59","여인숙업","374596.568723126","275280.050991166","여인숙업","","","","","","","6","","","","","","","","N",
"3789","숙박업","03_11_03_P","5100000","5100000-201-1976-00002","1976-09-11","","03","폐업","02","폐업","2018-08-06","","","","005403330446","0.00","770-906","경상북도 영천시 완산동 1065번지","경상북도 영천시 시장3길 9 (완산동)","38889","명동여인숙","2018-08-06 13:36:19","I","2018-08-31 23:59:59","여인숙업","374737.958212068","275586.308999143","여인숙업","0","0","0","0","0","0","11","0","","","","","","","N",
"3790","숙박업","03_11_03_P","5100000","5100000-201-1977-00003","1977-02-16","","03","폐업","02","폐업","2019-11-11","","","","005403343340","34.35","770-905","경상북도 영천시 완산동 907번지","경상북도 영천시 완산중앙9길 22 (완산동)","38890","고려여인숙","2019-11-11 16:06:34","U","2019-11-13 02:40:00","여인숙업","374815.960996668","275339.207776207","여인숙업","0","0","0","0","0","0","6","0","","","","","","","N",
"3791","숙박업","03_11_03_P","5100000","5100000-201-1995-00016","1995-09-05","","03","폐업","02","폐업","2003-02-27","","","","005403360901","220.04","770-881","경상북도 영천시 북안면 고지리 135번지 136-1,136-4","","","고궁여관","2003-06-19 00:00:00","I","2018-08-31 23:59:59","여관업","382700.025992841","269374.529729397","여관업","2","","1","2","","","9","8","","","","","","","N",
"3792","숙박업","03_11_03_P","5100000","5100000-201-1974-00003","1974-07-03","","03","폐업","02","폐업","2020-11-05","","","","054 334 3406","0.00","770-905","경상북도 영천시 완산동 934-10","경상북도 영천시 완산로 9 (완산동)","38890","군위여인숙","2020-11-05 15:27:52","U","2020-11-07 02:40:00","여인숙업","374844.868416149","275134.208731729","여인숙업","0","0","0","0","0","0","7","0","","","","","","","N",
"3793","숙박업","03_11_03_P","5100000","5100000-201-1996-00009","1996-12-12","","03","폐업","02","폐업","2006-01-17","","","","005403359578","248.64","770-892","경상북도 영천시 청통면 치일리 38-1번지","","","동성장여관","2003-04-02 00:00:00","I","2018-08-31 23:59:59","여관업","364021.338803508","278745.195562623","여관업","3","","1","3","","","13","10","","","","","","","N",
"3794","숙박업","03_11_03_P","5100000","5100000-201-1974-00005","1974-07-30","","03","폐업","02","폐업","2003-02-27","","","","005403343671","24.00","770-060","경상북도 영천시 금노동 582-3번지","","","월성여인숙","2002-09-28 00:00:00","I","2018-08-31 23:59:59","여인숙업","","","여인숙업","0","0","0","","0","","7","0","","","","","","","N",
"3795","숙박업","03_11_03_P","5100000","5100000-201-1997-00003","1997-02-05","","03","폐업","02","폐업","2014-04-07","","","","054 3362030","373.63","770-891","경상북도 영천시 청통면 계포리 399번지 400-1번지","경상북도 영천시 청통면 청통로 786 (400-1번지)","38867","팔공산여관","2004-07-15 00:00:00","I","2018-08-31 23:59:59","여관업","363048.274543229","278601.003330181","여관업","3","","1","3","","","15","10","","","","","","","N",
"3796","숙박업","03_11_03_P","5100000","5100000-201-1995-00011","1995-01-23","","03","폐업","02","폐업","2003-02-27","","","","005403359963","243.00","770-845","경상북도 영천시 고경면 용전리 388번지 388-1,-2,-3. 389.390번지","","","약수여관","2003-04-02 00:00:00","I","2018-08-31 23:59:59","여관업","380342.119198246","277812.736898596","여관업","2","","1","2","","","15","8","","","","","","","N",
"3797","숙박업","03_11_03_P","5100000","5100000-201-1985-00004","1985-01-09","","03","폐업","02","폐업","2002-10-18","","","","","189.19","770-802","경상북도 영천시 금호읍 덕성리 112-9번지","","","귀빈장여관","2002-10-18 00:00:00","I","2018-08-31 23:59:59","여관업","368739.906238441","271700.145972303","여관업","2","0","2","","0","","13","6","","","","","","","N",
"3798","숙박업","03_11_03_P","5100000","5100000-201-1979-00003","1979-11-16","","03","폐업","02","폐업","2014-02-12","","","","054 3340024","180.40","770-802","경상북도 영천시 금호읍 덕성리 1161-1번지","경상북도 영천시 금호읍 금호로 74","38881","강변장여관","2014-01-13 16:24:20","I","2018-08-31 23:59:59","여관업","368691.186752542","271631.949031808","여관업","3","","3","3","","","10","5","","","","","","","N",
"3799","숙박업","03_11_03_P","5100000","5100000-201-1962-00001","1962-05-22","","03","폐업","02","폐업","2003-02-27","","","","005403341667","90.00","770-892","경상북도 영천시 청통면 치일리 414번지","","","한일여관","2002-09-28 00:00:00","I","2018-08-31 23:59:59","여관업","361894.697794713","278204.746324228","여관업","1","0","1","","0","","7","0","","","","","","","N",
"3800","숙박업","03_11_03_P","5100000","5100000-201-1967-00002","1967-09-02","","03","폐업","02","폐업","2003-02-27","","","","005403321053","70.00","770-892","경상북도 영천시 청통면 치일리 399번지","","","안동여관","2001-10-17 00:00:00","I","2018-08-31 23:59:59","여관업","362093.287316582","278232.800350752","여관업","1","0","1","","0","","6","0","","","","","","","N",
"3801","숙박업","03_11_03_P","5100000","5100000-201-1971-00001","1971-08-02","","03","폐업","02","폐업","2003-02-27","","","","005403321057","64.50","770-892","경상북도 영천시 청통면 치일리 423번지","","","영일여관","2001-10-17 00:00:00","I","2018-08-31 23:59:59","여관업","","","여관업","1","0","1","","0","","6","0","","","","","","","N",
"3802","숙박업","03_11_03_P","5100000","5100000-201-1960-00001","1960-11-30","","03","폐업","02","폐업","2003-02-27","","","","005403320015","76.54","770-812","경상북도 영천시 신녕면 화성리 805번지","","","화성여관","2001-10-17 00:00:00","I","2018-08-31 23:59:59","여관업","","","여관업","1","0","1","","0","","7","0","","","","","","","N",
"3803","숙박업","03_11_03_P","5100000","5100000-201-1973-00002","1973-03-22","","03","폐업","02","폐업","2003-02-27","","","","005403322169","68.70","770-843","경상북도 영천시 고경면 창하리 273번지","","","달성여관","2001-10-17 00:00:00","I","2018-08-31 23:59:59","여관업","","","여관업","1","0","1","","0","","7","0","","","","","","","N",
"3804","숙박업","03_11_03_P","5100000","5100000-201-1986-00001","1986-01-07","","03","폐업","02","폐업","2008-11-12","","","","054 3343055","87.98","770-060","경상북도 영천시 금노동 546-13번지","","","무림장여관","2007-09-07 16:40:40","I","2018-08-31 23:59:59","여관업","373940.10299589","275174.914393505","여관업","3","","1","3","","","6","5","","","","","","","N",
"3805","숙박업","03_11_03_P","5100000","5100000-201-1989-00001","1989-09-19","","03","폐업","02","폐업","2003-09-29","","","","","215.00","770-906","경상북도 영천시 완산동 1077-16번지","","","늘푸른여관","2003-09-29 00:00:00","I","2018-08-31 23:59:59","여관업","374581.214651091","275338.935396061","여관업","3","","1","3","","","12","7","","","","","","","N",
"3806","숙박업","03_11_03_P","5100000","5100000-201-1989-00002","1989-01-10","","03","폐업","02","폐업","2003-02-03","","","","005403333469","170.00","770-905","경상북도 영천시 완산동 904-20번지","","","한국여관","2003-02-03 00:00:00","I","2018-08-31 23:59:59","여관업","374764.375282995","275225.858945801","여관업","3","0","3","","0","","9","6","","","","","","","N",
"3807","숙박업","03_11_03_P","5100000","5100000-201-1989-00004","1989-04-15","","03","폐업","02","폐업","2003-02-27","","","","005403312389","173.58","770-040","경상북도 영천시 과전동 8-4번지","","","공원여관","2003-04-02 00:00:00","I","2018-08-31 23:59:59","여관업","374145.885424983","275708.083338818","여관업","2","","2","2","","","9","6","","","","","","","N",
"3808","숙박업","03_11_03_P","5100000","5100000-201-1975-00004","1975-11-11","","03","폐업","02","폐업","2020-10-13","","","","054 334 3575","0.00","770-906","경상북도 영천시 완산동 1104-8","경상북도 영천시 금완로 46-18 (완산동)","38892","영천여인숙","2020-10-13 18:15:31","U","2020-10-15 02:40:00","여인숙업","374344.855254201","275027.811887333","여인숙업","0","0","0","0","0","0","11","0","","","","","","","N",
"3809","숙박업","03_11_03_P","5100000","5100000-201-1986-00004","1986-10-17","","03","폐업","02","폐업","2009-01-28","","","","054 3344444","137.20","770-040","경상북도 영천시 과전동 109-2번지","","","도원장","2007-09-07 16:42:40","I","2018-08-31 23:59:59","여관업","374053.847650849","275775.148788997","여관업","3","","1","3","","","10","6","","","","","","","N",
"3810","숙박업","03_11_03_P","5100000","5100000-201-1974-00006","1974-09-17","","03","폐업","02","폐업","2009-02-11","","","","005403342142","0.00","770-905","경상북도 영천시 완산동 930-16번지","","","계림여인숙","2003-06-25 00:00:00","I","2018-08-31 23:59:59","여인숙업","374823.182402927","275032.950086178","여인숙업","","","","","","","9","","","","","","","","N",
"3811","숙박업","03_11_03_P","5100000","5100000-201-1996-00007","1996-12-03","","03","폐업","02","폐업","2003-02-27","","","","","399.84","770-811","경상북도 영천시 신녕면 화서리 69번지","","","청화대","2003-06-19 00:00:00","I","2018-08-31 23:59:59","여관업","357205.614618966","289180.291647545","여관업","6","","1","6","","","18","18","","","","","","","N",
"3812","숙박업","03_11_03_P","5100000","5100000-201-1967-00001","1967-11-20","","03","폐업","02","폐업","2003-02-27","","","","","47.52","770-905","경상북도 영천시 완산동 905-23번지","","","금호장여관","2002-09-28 00:00:00","I","2018-08-31 23:59:59","여관업","374652.128704272","275306.020311845","여관업","0","0","0","","0","","8","0","","","","","","","N",
"3813","숙박업","03_11_03_P","5100000","5100000-201-1993-00002","1993-11-02","","03","폐업","02","폐업","2003-02-27","","","","005403313488","161.00","770-804","경상북도 영천시 금호읍 냉천리 363번지 406-7,407-18","","","로얄장여관","2003-06-19 00:00:00","I","2018-08-31 23:59:59","여관업","","","여관업","3","","1","3","","","10","5","","","","","","","N",
"3814","숙박업","03_11_03_P","5100000","5100000-201-1995-00003","1995-04-01","","03","폐업","02","폐업","2023-12-14","","","","054 3766999","337.34","770-030","경상북도 영천시 문외동 40-3","경상북도 영천시 시청남1길 15 (문외동)","38855","능금장모탤","2023-12-14 16:39:39","U","2023-12-16 02:40:00","여관업","374820.45105775","276336.993552658","여관업","5","0","1","4","0","0","16","10","","","","","0","0","N",
"3815","숙박업","03_11_03_P","5100000","5100000-201-2000-00003","2000-09-29","","03","폐업","02","폐업","2003-02-27","","","","","271.00","770-906","경상북도 영천시 완산동 1104-8번지","","","영천여인숙","2001-10-19 00:00:00","I","2018-08-31 23:59:59","여인숙업","374344.855254201","275027.811887333","여인숙업","0","0","0","","0","","9","0","","","","","","","N",
"3816","숙박업","03_11_03_P","5100000","5100000-201-2004-00001","2004-03-18","","03","폐업","02","폐업","2012-03-21","","","","054 3347290","0.00","770-905","경상북도 영천시 완산동 900-9번지","","","신라여인숙","2005-09-21 00:00:00","I","2018-08-31 23:59:59","여인숙업","","","여인숙업","","","","","","","","","","","","","","","N",
"3817","숙박업","03_11_03_P","5100000","5100000-201-1995-00013","1995-08-08","","03","폐업","02","폐업","2014-03-11","","","","005403369798","273.72","770-822","경상북도 영천시 화북면 상송리 산 32-9번지","","","오가며산장","2004-12-01 00:00:00","I","2018-08-31 23:59:59","여관업","371132.106291208","299073.600217431","여관업","4","","1","4","","","8","12","","","","","","","N",
"3818","숙박업","03_11_03_P","5100000","5100000-201-2001-00001","2001-11-02","","03","폐업","02","폐업","2006-08-16","","","","005403313286","665.00","770-010","경상북도 영천시 창구동 38번지","","","미도장모텔","2004-06-21 00:00:00","I","2018-08-31 23:59:59","여관업","374172.21898472","275907.322405445","여관업","5","","1","2","","","8","8","","","","","","","N",
"3819","숙박업","03_11_03_P","5100000","5100000-201-2001-00002","2001-04-19","","03","폐업","02","폐업","2004-06-21","","","","005403331562","","770-010","경상북도 영천시 창구동 38번지","","","미도장모텔","2004-06-21 00:00:00","I","2018-08-31 23:59:59","여관업","374172.21898472","275907.322405445","여관업","5","1","5","5","","","7","7","","","","","","","N",
"3820","숙박업","03_11_03_P","5100000","5100000-201-1994-00001","1994-02-08","","03","폐업","02","폐업","2005-09-21","","","","005403329080","203.42","770-906","경상북도 영천시 완산동 990-27번지 1066-13,-22번지","","","삼오여관","2004-04-01 00:00:00","I","2018-08-31 23:59:59","여관업","","","여관업","5","","1","5","","","11","8","","","","","","","N",
"3821","숙박업","03_11_03_P","5100000","5100000-201-2003-00001","2003-04-28","","03","폐업","02","폐업","2022-07-11","","","","054 3328005","0.00","770-010","경상북도 영천시 창구동 37-1","경상북도 영천시 옛군청1길 17 (창구동)","38849","여인천하모텔","2022-07-11 10:06:05","U","2022-07-13 02:40:00","여관업","374190.058859353","275912.745841584","여관업","3","1","1","3","0","0","2","15","","","","임대","0","0","N",
"3822","숙박업","03_11_03_P","5100000","5100000-201-1986-00003","1986-06-23","","03","폐업","02","폐업","2013-05-14","","","","005403331445","185.88","770-905","경상북도 영천시 완산동 901-2번지","","","궁전장여관","2003-08-12 00:00:00","I","2018-08-31 23:59:59","여관업","374727.829363806","275136.342027934","여관업","3","","1","3","","","11","8","","","","","","","N",
"3823","숙박업","03_11_03_P","5110000","5110000-201-1973-00002","1973-12-22","","03","폐업","02","폐업","2012-01-06","","","","054 5353957","287.07","742-050","경상북도 상주시 서성동 53-1번지","","","우신여관","2006-03-31 00:00:00","I","2018-08-31 23:59:59","여관업","303983.78933588","324854.489270434","여관업","3","1","2","3","","","18","","","","","자가","","","N",
"3824","숙박업","03_11_03_P","5110000","5110000-201-2001-00111","1990-12-12","","03","폐업","02","폐업","2022-06-28","","","","054 5327534","0.00","742-903","경상북도 상주시 남성동 8-2","경상북도 상주시 남성로 75-14 (남성동)","37196","청주여인숙","2022-06-28 13:36:17","U","2022-06-30 02:40:00","여인숙업","303979.848480451","324430.326639129","여인숙업","2","0","1","2","0","0","0","10","","","","","0","0","N",
"3825","숙박업","03_11_03_P","5110000","5110000-201-2001-00082","1997-05-23","","03","폐업","02","폐업","2023-12-12","","","","054 5413745","118.00","742-802","경상북도 상주시 함창읍 구향리 205-3","경상북도 상주시 함창읍 함창중앙로 133","37115","모텔수","2023-12-12 09:45:36","U","2023-12-14 02:40:00","여관업","305475.007526236","341577.620780858","여관업","3","0","2","3","0","0","6","6","","","","자가","0","0","N",
"3826","숙박업","03_11_03_P","5110000","5110000-201-1992-00001","1992-12-11","","03","폐업","02","폐업","2007-05-03","","","","054 5340565","0.00","742-060","경상북도 상주시 인봉동 52-17번지","","","김포여인숙","2005-04-12 00:00:00","I","2018-08-31 23:59:59","여인숙업","304274.549545689","324627.287231409","여인숙업","0","0","0","","0","","7","0","","","","","","","N",
"3827","숙박업","03_11_03_P","5110000","5110000-201-2001-00086","1998-03-04","","03","폐업","02","폐업","2006-01-20","","","","054 5337151","157.40","742-951","경상북도 상주시 낙동면 낙동리 451-8번지","","","새산수장","2005-08-17 00:00:00","I","2018-08-31 23:59:59","여관업","316550.059348032","318481.935908877","여관업","3","","3","3","","","5","4","","","","","","","N",
"3828","숙박업","03_11_03_P","5110000","5110000-201-2001-00143","1988-07-05","","03","폐업","02","폐업","2018-04-11","","","","054 535 3384","190.30","742-050","경상북도 상주시 서성동 125-15번지","경상북도 상주시 서성3길 2-1 (서성동)","37189","보은장여관","2018-04-11 11:25:16","I","2018-08-31 23:59:59","여관업","303923.186001996","324693.807196795","여관업","4","0","3","4","0","0","0","16","","","","자가","","","N",
"3829","숙박업","03_11_03_P","5110000","5110000-201-2002-00001","2000-01-07","","03","폐업","02","폐업","2011-05-23","","","","054 5414000","548.64","742-802","경상북도 상주시 함창읍 구향리 115-37번지","","","남일코아장여관","2011-05-24 09:47:52","I","2018-08-31 23:59:59","여관업","305511.115271126","341530.157192765","여관업","3","1","2","2","","","24","","","","","","","","N",
"3830","숙박업","03_11_03_P","5110000","5110000-201-2001-00117","1996-04-19","","03","폐업","02","폐업","2011-04-01","","","","054 5352505","523.38","742-906","경상북도 상주시 무양동 237-2번지","","","청파장여관","2008-06-05 15:58:18","I","2018-08-31 23:59:59","여관업","303822.966256957","325052.463906968","여관업","3","","2","3","","","12","7","","","","임대","","","N",
"3831","숙박업","03_11_03_P","5110000","5110000-201-2001-00144","1988-09-06","","03","폐업","02","폐업","2009-06-17","","","","054 5343600","287.78","742-050","경상북도 상주시 서성동 163-49번지","","","동양장여관","2006-03-31 00:00:00","I","2018-08-31 23:59:59","여관업","304162.312106348","324590.436208682","여관업","3","1","1","3","","","14","5","","","","","","","N",
"3832","숙박업","03_11_03_P","5110000","5110000-201-2003-00001","1988-12-26","","03","폐업","02","폐업","2007-05-21","","","","054 5331313","207.34","742-030","경상북도 상주시 성하동 8-4번지","","","러브스토리","2004-01-26 00:00:00","I","2018-08-31 23:59:59","여관업","304252.176889821","324439.114193653","여관업","4","","1","4","","","9","","","","","","","","N",
"3833","숙박업","03_11_03_P","5110000","5110000-201-2002-00002","1993-12-23","","03","폐업","02","폐업","2011-05-23","","","","054 5310411","195.13","742-951","경상북도 상주시 낙동면 낙동리 573-5번지","","","낙동장여관","2011-05-24 09:49:15","I","2018-08-31 23:59:59","여관업","316455.676687109","318412.910745825","여관업","4","","2","4","","","5","12","","","","임대","","","N",
"3834","숙박업","03_11_03_P","5110000","5110000-201-2003-00004","2003-11-12","","03","폐업","02","폐업","2018-03-22","","","","054 5367143","671.13","742-912","경상북도 상주시 모동면 상판리 146-4번지","경상북도 상주시 모동면 웅산로 388-20","37273","알프스모텔","2018-03-22 16:03:09","I","2018-08-31 23:59:59","여관업","291367.74817931","311182.121165867","여관업","4","1","2","4","0","0","2","21","","","","자가","","","N",
"3835","숙박업","03_11_03_P","5110000","5110000-201-2001-00131","1982-10-29","","03","폐업","02","폐업","2013-10-11","","","","054 5340122","0.00","742-050","경상북도 상주시 서성동 110-22번지","","","한일여인숙","2003-11-20 00:00:00","I","2018-08-31 23:59:59","여인숙업","304004.923058771","324627.256147749","여인숙업","1","","1","1","","","","10","","","","자가","","","N",
"3836","숙박업","03_11_03_P","5110000","5110000-201-1975-00001","1975-11-08","","03","폐업","02","폐업","2003-03-28","","","","054 5352726","0.00","742-060","경상북도 상주시 인봉동 52-22번지","","","희망여관","2003-03-28 00:00:00","I","2018-08-31 23:59:59","여관업","304259.803639502","324603.831202448","여관업","","","","","","","","","","","","","","","N",
"3837","숙박업","03_11_03_P","5110000","5110000-201-2001-00152","1995-12-30","","03","폐업","02","폐업","2003-08-18","","","","054 5352301","1169.78","742-040","경상북도 상주시 복룡동 479-2번지","","","팔레스여관","2003-08-18 00:00:00","I","2018-08-31 23:59:59","여관업","304278.687044524","324942.588790456","여관업","5","1","1","5","","","","38","","","","자가","","","N",
"3838","숙박업","03_11_03_P","5110000","5110000-201-1973-00001","1973-05-21","","03","폐업","02","폐업","2006-11-23","","","","054 5353144","0.00","742-906","경상북도 상주시 무양동 214-2번지","","","금성여인숙","2006-11-23 00:00:00","I","2018-08-31 23:59:59","여인숙업","303814.222614117","325165.813992406","여인숙업","1","","1","1","","","9","","","","","임대","","","N",
"3839","숙박업","03_11_03_P","5110000","5110000-201-1998-00001","1971-10-15","","03","폐업","02","폐업","2012-03-05","","","","054 5352089","0.00","742-050","경상북도 상주시 서성동 110-25번지","","","시대여인숙","2003-08-19 00:00:00","I","2018-08-31 23:59:59","여인숙업","303974.65193228","324626.915557751","여인숙업","1","","1","1","","","","9","","","","임대","","","N",
"3840","숙박업","03_11_03_P","5110000","5110000-201-2001-00112","1982-01-25","","03","폐업","02","폐업","2005-02-02","","","","054 5353950","44.92","742-903","경상북도 상주시 남성동 5-7번지","","","신라여인숙","2003-08-19 00:00:00","I","2018-08-31 23:59:59","여인숙업","304032.405279214","324424.414655396","여인숙업","1","","1","1","","","","8","","","","자가","","","N",
"3841","숙박업","03_11_03_P","5110000","5110000-201-2001-00124","2001-11-13","","03","폐업","02","폐업","2002-02-22","","","","","0.00","742-906","경상북도 상주시 무양동 261번지","","","제일여인숙","2002-02-22 00:00:00","I","2018-08-31 23:59:59","여인숙업","","","여인숙업","0","0","0","","0","","0","0","","","","","","","N",
"3842","숙박업","03_11_03_P","5110000","5110000-201-2001-00129","1974-11-04","","03","폐업","02","폐업","2007-05-25","","","","054 5353626","0.00","742-070","경상북도 상주시 냉림동 330번지","","","송이여인숙","2004-02-05 00:00:00","I","2018-08-31 23:59:59","여인숙업","304003.868657005","325052.62896706","여인숙업","1","","1","1","","","","9","","","","자가","","","N",
"3843","숙박업","03_11_03_P","5110000","5110000-201-2001-00130","2001-11-13","","03","폐업","02","폐업","2002-03-28","","","","054 5321010","0.00","742-050","경상북도 상주시 서성동 102번지","","","동래장여관","2002-03-28 00:00:00","I","2018-08-31 23:59:59","여관업","","","여관업","0","0","0","","0","","0","12","","","","","","","N",
"3844","숙박업","03_11_03_P","5110000","5110000-201-2001-00137","1995-12-05","","03","폐업","02","폐업","2006-07-11","","","","054 5321818","173.12","742-080","경상북도 상주시 서문동 60-1번지","","","신라장여관","2003-08-19 00:00:00","I","2018-08-31 23:59:59","여관업","303598.605689052","324901.505552659","여관업","3","","2","3","","","","15","","","","자가","","","N",
